LAT,LON,YEAR,MO,DY,WS2M,T2M,RH2M,PS,T2MDEW,PRECTOTCORR
29.75,77.25,2023,11,1,1.06,23.23,56.06,98.51,13.33,0
29.75,77.75,2023,11,1,1.12,23.19,57.68,97.77,13.84,0
29.75,78.25,2023,11,1,1.2,22.6,59.44,95.86,13.78,0
29.75,78.75,2023,11,1,1.3,20.67,61.44,91.85,12.49,0
29.75,79.25,2023,11,1,1.22,18.22,60.84,87.05,9.77,0
29.75,79.75,2023,11,1,1.26,16.16,60.39,83.4,7.37,0
29.75,80.25,2023,11,1,1.29,13.48,59.66,79.45,4.45,0
29.75,80.75,2023,11,1,1.3,9.76,59.94,74.47,0.96,0
30.25,73.25,2023,11,1,1.46,24.65,49.7,99.72,12.51,0
30.25,73.75,2023,11,1,1.27,23.85,55.88,99.6,13.65,0
30.25,74.25,2023,11,1,1.17,23.36,59.12,99.46,14.15,0
30.25,74.75,2023,11,1,1.11,22.98,61.04,99.31,14.38,0
30.25,75.25,2023,11,1,1.07,22.76,61.07,99.13,14.26,0
30.25,75.75,2023,11,1,1.04,22.69,59.64,98.95,13.9,0
30.25,76.25,2023,11,1,1.02,22.71,58.19,98.77,13.58,0
30.25,76.75,2023,11,1,1.03,22.74,56.66,97.92,13.16,0
30.25,77.25,2023,11,1,1.12,22.12,57.31,96.23,12.83,0
30.25,77.75,2023,11,1,1.19,20.75,60.29,93.52,12.4,0
30.25,78.25,2023,11,1,1.21,18.48,63.75,89.47,11.1,0
30.25,78.75,2023,11,1,1.27,15.14,63.88,83.65,7.6,0
30.25,79.25,2023,11,1,1.29,11.66,58.18,77.69,2.42,0
30.25,79.75,2023,11,1,1.42,7.44,57.48,71.82,-1.96,0
30.25,80.25,2023,11,1,1.64,3.46,57.98,66.64,-5.7,0
30.25,80.75,2023,11,1,1.88,0.17,58.41,62.35,-8.69,0
30.75,73.25,2023,11,1,1.3,23.98,54.56,99.64,13.48,0
30.75,73.75,2023,11,1,1.1,23.32,60.44,99.53,14.5,0
30.75,74.25,2023,11,1,1.05,23.05,61.99,99.42,14.74,0
30.75,74.75,2023,11,1,1.02,22.79,63.12,99.27,14.87,0
30.75,75.25,2023,11,1,0.99,22.6,63.11,99.07,14.75,0
30.75,75.75,2023,11,1,0.97,22.57,61.49,98.79,14.33,0
30.75,76.25,2023,11,1,1,22.78,58.09,98.34,13.67,0
30.75,76.75,2023,11,1,1.16,21.39,57.39,95.08,12.23,0
30.75,77.25,2023,11,1,1.27,18.51,59.21,89.97,10.03,0
30.75,77.75,2023,11,1,1.3,15.38,61.37,84.77,7.6,0
30.75,78.25,2023,11,1,1.29,11.7,62.49,79.26,4.24,0
30.75,78.75,2023,11,1,1.32,5.65,61.97,71.24,-1.97,0
30.75,79.25,2023,11,1,1.54,0.79,61.07,65.09,-7.41,0
30.75,79.75,2023,11,1,1.87,-2.26,59.98,60.61,-10.6,0
30.75,80.25,2023,11,1,2.23,-3.72,59.03,58.04,-12.17,0
30.75,80.75,2023,11,1,2.6,-4.17,58.1,56.9,-12.83,0
26.25,73.25,2023,11,2,0.96,27.66,34.33,98.48,9.42,0
26.25,73.75,2023,11,2,0.96,26.83,37.28,97.84,9.73,0
26.25,74.25,2023,11,2,1.09,25.59,38.71,96.94,9.25,0
26.25,74.75,2023,11,2,1.12,25.22,37.83,96.9,8.55,0
26.25,75.25,2023,11,2,1.05,25.31,37.05,97.32,8.26,0
26.25,75.75,2023,11,2,0.95,25.43,38.11,97.85,8.7,0
26.25,76.25,2023,11,2,0.91,25.06,42.06,98.2,9.84,0
26.25,76.75,2023,11,2,1.1,24.45,44.79,98.21,10.5,0
26.25,77.25,2023,11,2,1.24,24.1,46.91,98.29,11,0
26.25,77.75,2023,11,2,1.28,24.19,47.4,98.57,11.38,0
26.25,78.25,2023,11,2,1.18,24.6,46.82,99.02,11.76,0
26.25,78.75,2023,11,2,0.96,24.89,47.34,99.5,12.31,0
26.25,79.25,2023,11,2,0.85,25.11,46.69,99.72,12.37,0
26.25,79.75,2023,11,2,0.83,25.25,46.32,99.87,12.46,0
26.25,80.25,2023,11,2,0.82,25.27,47.29,99.96,12.86,0
26.25,80.75,2023,11,2,0.82,25.17,49.84,100.03,13.59,0
26.75,73.25,2023,11,2,1.34,26.94,31.44,98.12,7.43,0
26.75,73.75,2023,11,2,1.22,26.38,32.69,97.83,7.35,0
26.75,74.25,2023,11,2,1.24,25.43,36.09,97.32,7.89,0
26.75,74.75,2023,11,2,1.21,24.81,37.78,97,8.07,0
26.75,75.25,2023,11,2,1.14,24.71,37.62,97.01,7.91,0
26.75,75.75,2023,11,2,1.03,25.05,36.42,97.31,7.66,0
26.75,76.25,2023,11,2,0.87,25.43,36,97.67,7.75,0
26.75,76.75,2023,11,2,0.99,24.9,40.98,98.21,9.53,0
26.75,77.25,2023,11,2,1.08,24.76,42.71,98.74,10.3,0
26.75,77.75,2023,11,2,1.11,24.91,43.36,99.17,10.8,0
26.75,78.25,2023,11,2,1.04,25.18,44.06,99.47,11.38,0
26.75,78.75,2023,11,2,0.89,25.3,44.94,99.63,11.93,0
26.75,79.25,2023,11,2,0.78,25.29,45.06,99.72,12.02,0
26.75,79.75,2023,11,2,0.78,25.28,45.41,99.81,12.21,0
26.75,80.25,2023,11,2,0.81,25.25,46.72,99.89,12.68,0
26.75,80.75,2023,11,2,0.84,25.16,49.39,99.97,13.47,0
27.25,73.25,2023,11,2,1.5,26.23,32.1,98.04,6.9,0
27.25,73.75,2023,11,2,1.44,25.83,32.38,97.86,6.58,0
27.25,74.25,2023,11,2,1.38,25.33,33.9,97.56,6.78,0
27.25,74.75,2023,11,2,1.34,24.7,36.14,97.09,7.17,0
27.25,75.25,2023,11,2,1.3,24.35,36.86,96.71,7.17,0
27.25,75.75,2023,11,2,1.24,24.48,35.46,96.62,6.67,0
27.25,76.25,2023,11,2,1.09,25.11,32.94,96.99,6.1,0
27.25,76.75,2023,11,2,1.06,25.03,37.89,98.19,8.51,0
27.25,77.25,2023,11,2,1,25.1,39.97,98.92,9.66,0
27.25,77.75,2023,11,2,0.93,25.33,40.69,99.3,10.25,0
27.25,78.25,2023,11,2,0.86,25.58,41.49,99.46,10.81,0
27.25,78.75,2023,11,2,0.78,25.6,43.72,99.54,11.8,0
27.25,79.25,2023,11,2,0.72,25.44,44.79,99.64,12.08,0
27.25,79.75,2023,11,2,0.73,25.29,46.06,99.73,12.43,0
27.25,80.25,2023,11,2,0.81,25.12,48.11,99.81,12.97,0
27.25,80.75,2023,11,2,0.91,24.93,51.18,99.89,13.76,0
27.75,73.25,2023,11,2,1.47,26.01,33.53,98.4,7.12,0
27.75,73.75,2023,11,2,1.47,25.65,34.41,98.16,7.15,0
27.75,74.25,2023,11,2,1.44,25.2,35.78,97.87,7.34,0
27.75,74.75,2023,11,2,1.41,24.73,37.33,97.43,7.57,0
27.75,75.25,2023,11,2,1.38,24.35,38.06,97,7.57,0
27.75,75.75,2023,11,2,1.33,24.27,37.38,96.82,7.23,0
27.75,76.25,2023,11,2,1.2,24.7,35.03,97.23,6.69,0
27.75,76.75,2023,11,2,1.17,24.59,39.43,98.26,8.75,0
27.75,77.25,2023,11,2,1.08,24.74,41.09,98.95,9.79,0
27.75,77.75,2023,11,2,0.95,25.12,40.73,99.27,10.09,0
27.75,78.25,2023,11,2,0.81,25.57,40.35,99.33,10.36,0
27.75,78.75,2023,11,2,0.67,25.74,43.25,99.43,11.73,0
27.75,79.25,2023,11,2,0.65,25.55,45.9,99.54,12.54,0
27.75,79.75,2023,11,2,0.65,25.35,48.1,99.62,13.11,0
27.75,80.25,2023,11,2,0.72,25.17,50.55,99.68,13.72,0
27.75,80.75,2023,11,2,0.85,24.99,53.72,99.75,14.5,0
28.25,73.25,2023,11,2,1.49,25.98,35.54,98.95,7.97,0
28.25,73.75,2023,11,2,1.49,25.53,37.44,98.66,8.33,0
28.25,74.25,2023,11,2,1.46,24.98,40.01,98.38,8.89,0
28.25,74.75,2023,11,2,1.41,24.58,41.99,98.11,9.31,0
28.25,75.25,2023,11,2,1.36,24.33,43.12,97.89,9.55,0
28.25,75.75,2023,11,2,1.29,24.27,43.04,97.85,9.52,0
28.25,76.25,2023,11,2,1.19,24.53,41.19,98.18,9.14,0
28.25,76.75,2023,11,2,1.2,24.1,44.16,98.55,10.17,0
28.25,77.25,2023,11,2,1.18,23.99,45.58,98.92,10.74,0
28.25,77.75,2023,11,2,1.09,24.34,44.42,99.12,10.67,0
28.25,78.25,2023,11,2,0.93,24.99,42.45,99.17,10.54,0
28.25,78.75,2023,11,2,0.73,25.44,44.25,99.29,11.68,0
28.25,79.25,2023,11,2,0.59,25.51,48.05,99.37,13.12,0
28.25,79.75,2023,11,2,0.58,25.34,51.92,99.37,14.26,0
28.25,80.25,2023,11,2,0.69,25.15,54.96,99.3,15.01,0
28.25,80.75,2023,11,2,0.85,24.87,57.57,99.02,15.49,0
28.75,73.25,2023,11,2,1.49,25.75,38.72,99.36,9.25,0
28.75,73.75,2023,11,2,1.46,25.22,41.84,99.09,9.95,0
28.75,74.25,2023,11,2,1.4,24.56,45.47,98.91,10.73,0
28.75,74.75,2023,11,2,1.34,24.12,48.18,98.77,11.33,0
28.75,75.25,2023,11,2,1.28,23.89,49.9,98.68,11.76,0
28.75,75.75,2023,11,2,1.21,23.88,50.28,98.66,11.91,0
28.75,76.25,2023,11,2,1.17,24.05,48.66,98.75,11.58,0
28.75,76.75,2023,11,2,1.2,23.71,49.01,98.79,11.61,0
28.75,77.25,2023,11,2,1.19,23.4,50.44,98.88,11.84,0
28.75,77.75,2023,11,2,1.13,23.6,49.84,98.94,11.7,0
28.75,78.25,2023,11,2,1.02,24.29,47.41,98.96,11.42,0
28.75,78.75,2023,11,2,0.85,24.96,46.69,98.96,12.03,0
28.75,79.25,2023,11,2,0.77,24.88,50.71,98.57,13.32,0
28.75,79.75,2023,11,2,0.85,24.41,55.98,97.95,14.56,0
28.75,80.25,2023,11,2,0.89,23.58,59.86,96.69,14.95,0
28.75,80.75,2023,11,2,0.92,22.39,62.29,94.75,14.45,0
29.25,73.25,2023,11,2,1.43,25.32,43.02,99.52,10.6,0
29.25,73.75,2023,11,2,1.36,24.74,47.12,99.31,11.53,0
29.25,74.25,2023,11,2,1.27,23.97,52,99.2,12.49,0
29.25,74.75,2023,11,2,1.21,23.46,55.15,99.1,13.09,0
29.25,75.25,2023,11,2,1.15,23.18,56.96,99,13.47,0
29.25,75.75,2023,11,2,1.09,23.12,57.31,98.92,13.58,0
29.25,76.25,2023,11,2,1.11,23.24,55.53,98.84,13.22,0
29.25,76.75,2023,11,2,1.13,23.31,52.73,98.78,12.53,0
29.25,77.25,2023,11,2,1.08,23,54.38,98.73,12.71,0
29.25,77.75,2023,11,2,1.05,23.1,54.82,98.65,12.74,0
29.25,78.25,2023,11,2,1.05,23.58,52.89,98.28,12.42,0
29.25,78.75,2023,11,2,0.99,23.59,51.84,97.16,12.4,0
29.25,79.25,2023,11,2,1.05,22.04,55.19,94.33,12.08,0
29.25,79.75,2023,11,2,1.17,20.68,59.16,91.97,11.97,0
29.25,80.25,2023,11,2,1.17,19.07,62.15,89.38,11.19,0
29.25,80.75,2023,11,2,1.11,16.88,64.03,86.09,9.46,0
29.75,73.25,2023,11,2,1.33,24.86,48.09,99.57,12,0
29.75,73.75,2023,11,2,1.23,24.17,53.06,99.42,13.02,0
29.75,74.25,2023,11,2,1.14,23.43,58.64,99.28,14.07,0
29.75,74.75,2023,11,2,1.08,22.97,61.49,99.15,14.58,0
29.75,75.25,2023,11,2,1.03,22.74,62.42,99.01,14.73,0
29.75,75.75,2023,11,2,0.99,22.67,61.89,98.87,14.59,0
29.75,76.25,2023,11,2,1.04,22.7,60.09,98.74,14.16,0
29.75,76.75,2023,11,2,0.96,22.96,55.89,98.59,13.25,0
29.75,77.25,2023,11,2,0.9,22.74,56.36,98.33,13.18,0
29.75,77.75,2023,11,2,0.95,22.45,57.72,97.59,13.15,0
29.75,78.25,2023,11,2,1.09,21.81,58.59,95.69,12.62,0
29.75,78.75,2023,11,2,1.18,19.87,59.94,91.67,11.28,0
29.75,79.25,2023,11,2,1.24,17.33,59.41,86.87,8.72,0
29.75,79.75,2023,11,2,1.32,15.25,58.49,83.22,6.36,0
29.75,80.25,2023,11,2,1.38,12.47,58.21,79.26,3.5,0
29.75,80.75,2023,11,2,1.42,8.56,59.38,74.28,0.02,0
30.25,73.25,2023,11,2,1.19,24.23,54.22,99.55,13.45,0
30.25,73.75,2023,11,2,1.11,23.6,59.34,99.42,14.44,0
30.25,74.25,2023,11,2,1.05,23.17,63.09,99.28,15.18,0
30.25,74.75,2023,11,2,1,22.88,64.91,99.12,15.51,0
30.25,75.25,2023,11,2,0.95,22.68,65.29,98.94,15.51,0
30.25,75.75,2023,11,2,0.92,22.58,64.29,98.76,15.21,0
30.25,76.25,2023,11,2,0.94,22.61,61.59,98.58,14.56,0
30.25,76.75,2023,11,2,0.9,22.61,56.79,97.73,13.23,0
30.25,77.25,2023,11,2,0.93,21.74,55.42,96.04,12.03,0
30.25,77.75,2023,11,2,1.02,20.17,57.28,93.33,11.05,0
30.25,78.25,2023,11,2,1.15,17.87,60.23,89.28,9.62,0
30.25,78.75,2023,11,2,1.24,14.59,60.28,83.46,6.36,0
30.25,79.25,2023,11,2,1.37,10.8,57.21,77.5,1.69,0
30.25,79.75,2023,11,2,1.5,6.36,56.79,71.62,-2.79,0
30.25,80.25,2023,11,2,1.74,2.22,58.47,66.44,-6.47,0
30.25,80.75,2023,11,2,2.06,-1.26,61.01,62.16,-9.26,0
30.75,73.25,2023,11,2,1.09,23.53,60.59,99.47,14.76,0
30.75,73.75,2023,11,2,1.05,23.12,64.72,99.35,15.56,0
30.75,74.25,2023,11,2,0.99,23.01,65.97,99.23,15.91,0
30.75,74.75,2023,11,2,0.92,22.85,67.01,99.07,16.12,0
30.75,75.25,2023,11,2,0.88,22.68,67.25,98.88,16.06,0
30.75,75.75,2023,11,2,0.88,22.59,65.54,98.6,15.56,0
30.75,76.25,2023,11,2,0.91,22.81,60.19,98.15,14.39,0
30.75,76.75,2023,11,2,1.07,21.2,57.16,94.89,12.01,0
30.75,77.25,2023,11,2,1.18,18.24,55.47,89.78,8.79,0
30.75,77.75,2023,11,2,1.25,14.97,56.01,84.58,5.87,0
30.75,78.25,2023,11,2,1.3,11.1,58.34,79.06,2.74,0
30.75,78.75,2023,11,2,1.35,4.97,60.69,71.04,-2.76,0
30.75,79.25,2023,11,2,1.65,-0.07,63.41,64.89,-7.46,0
30.75,79.75,2023,11,2,1.96,-3.44,63.46,60.41,-10.77,0
30.75,80.25,2023,11,2,2.35,-5.14,63.79,57.84,-12.42,0
30.75,80.75,2023,11,2,2.83,-5.77,64.11,56.71,-13.06,0
26.25,73.25,2023,11,3,1.14,27.74,32.96,98.29,8.86,0
26.25,73.75,2023,11,3,1.1,27.06,35.91,97.65,9.24,0
26.25,74.25,2023,11,3,1.07,26.18,34.78,96.74,8.27,0
26.25,74.75,2023,11,3,1.02,25.92,32.01,96.7,6.93,0
26.25,75.25,2023,11,3,0.95,25.94,30.33,97.11,6.15,0
26.25,75.75,2023,11,3,0.88,25.84,32.08,97.65,6.6,0
26.25,76.25,2023,11,3,0.95,25.1,39.12,98,8.73,0
26.25,76.75,2023,11,3,1.17,24.74,42.72,98.02,9.87,0
26.25,77.25,2023,11,3,1.27,24.73,43.87,98.09,10.28,0
26.25,77.75,2023,11,3,1.28,24.92,43.61,98.36,10.39,0
26.25,78.25,2023,11,3,1.27,25.12,43.49,98.81,10.62,0
26.25,78.75,2023,11,3,1.25,25.1,45.56,99.29,11.41,0
26.25,79.25,2023,11,3,1.2,25.16,46.56,99.51,11.91,0
26.25,79.75,2023,11,3,1.09,25.13,47.3,99.66,12.29,0
26.25,80.25,2023,11,3,0.96,25.14,47.5,99.77,12.52,0
26.25,80.75,2023,11,3,0.87,25.23,47.21,99.84,12.66,0
26.75,73.25,2023,11,3,1.2,27.16,27.28,97.92,5.91,0
26.75,73.75,2023,11,3,1.1,26.63,28.41,97.63,5.71,0
26.75,74.25,2023,11,3,1.13,25.61,31.63,97.12,6.25,0
26.75,74.75,2023,11,3,1.12,25.02,32.81,96.79,6.31,0
26.75,75.25,2023,11,3,1.07,24.99,32.45,96.8,6.13,0
26.75,75.75,2023,11,3,0.98,25.35,31.85,97.1,6.1,0
26.75,76.25,2023,11,3,0.86,25.65,33.12,97.46,6.81,0
26.75,76.75,2023,11,3,1.07,25.09,39.08,98,8.86,0
26.75,77.25,2023,11,3,1.24,24.83,41.89,98.53,9.86,0
26.75,77.75,2023,11,3,1.35,24.82,42.99,98.96,10.34,0
26.75,78.25,2023,11,3,1.38,24.9,43.66,99.26,10.7,0
26.75,78.75,2023,11,3,1.33,24.86,45.06,99.42,11.21,0
26.75,79.25,2023,11,3,1.19,24.92,45.94,99.52,11.63,0
26.75,79.75,2023,11,3,1.09,24.89,47.13,99.6,12.1,0
26.75,80.25,2023,11,3,0.97,24.88,47.98,99.69,12.47,0
26.75,80.75,2023,11,3,0.87,24.91,48.58,99.77,12.78,0
27.25,73.25,2023,11,3,1.33,26.63,27.08,97.83,5.44,0
27.25,73.75,2023,11,3,1.26,26.05,28.28,97.65,5.26,0
27.25,74.25,2023,11,3,1.22,25.4,31.61,97.35,6.01,0
27.25,74.75,2023,11,3,1.19,24.85,34.48,96.88,6.73,0
27.25,75.25,2023,11,3,1.18,24.59,35.61,96.5,6.98,0
27.25,75.75,2023,11,3,1.17,24.74,34.76,96.41,6.74,0
27.25,76.25,2023,11,3,1.09,25.41,32.78,96.78,6.45,0
27.25,76.75,2023,11,3,1.12,25.1,38.41,97.97,8.77,0
27.25,77.25,2023,11,3,1.21,24.62,42.55,98.7,10.18,0
27.25,77.75,2023,11,3,1.3,24.4,44.24,99.09,10.72,0
27.25,78.25,2023,11,3,1.35,24.43,44.49,99.26,10.83,0
27.25,78.75,2023,11,3,1.32,24.28,46.31,99.33,11.32,0
27.25,79.25,2023,11,3,1.19,24.41,46.94,99.43,11.66,0
27.25,79.75,2023,11,3,1.11,24.45,48.28,99.53,12.17,0
27.25,80.25,2023,11,3,1.03,24.44,49.81,99.61,12.69,0
27.25,80.75,2023,11,3,0.95,24.4,51.43,99.7,13.19,0
27.75,73.25,2023,11,3,1.3,26.58,28.52,98.18,6.11,0
27.75,73.75,2023,11,3,1.23,26.09,30.25,97.95,6.28,0
27.75,74.25,2023,11,3,1.21,25.5,34.25,97.65,7.23,0
27.75,74.75,2023,11,3,1.2,25.08,37.2,97.21,7.99,0
27.75,75.25,2023,11,3,1.24,24.77,38.99,96.78,8.43,0
27.75,75.75,2023,11,3,1.31,24.65,39.5,96.61,8.57,0
27.75,76.25,2023,11,3,1.36,24.97,38.62,97.02,8.58,0
27.75,76.75,2023,11,3,1.28,24.67,42.95,98.04,10.28,0
